Open,High,Low,Close,Volume,Ticker,Daily_Change_%,Vol_Intensity,Signal
251.9949951171875,257.0,250.77499389648438,252.88999938964844,41331888,AAPL,0.10688159198788405,0.8475273149287489,0
370.81500244140625,374.71990966796875,365.19000244140625,365.9700012207031,36436874,MSFT,-1.3664314379738696,0.9544196496053169,0
176.1699981689453,176.5,171.13999938964844,171.24000549316406,182162282,NVDA,-4.163861365338873,0.9936934076300921,0
381.8299865722656,384.44000244140625,371.8699951171875,372.1099853515625,54835418,TSLA,-3.5859635750042917,0.8482356483412182,0
287.9100036621094,287.95001220703125,278.5,280.9200134277344,38906505,GOOGL,-3.4406831540405025,1.0872445866997,0
210.57000732421875,212.88499450683594,207.1199951171875,207.5399932861328,45915765,AMZN,-1.9696817795534227,1.0175105067317343,0
582.530029296875,583.0,543.3499755859375,547.5399780273438,34368583,META,-7.9594606490539626,1.8568341711078455,-1
27.625,27.625,25.299999237060547,25.71500015258789,19470125,APLD,-9.358479408198884,1.2297440134051973,-1
153.0500030517578,153.07000732421875,147.25,147.55999755859375,42818707,PLTR,-4.775431617615711,0.8784225206730634,0
273.80999755859375,274.1600036621094,252.39999389648438,252.39999389648438,6551824,VRT,-8.603711417492644,0.2823124499584293,0
